Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M41GG,Trial 4,0.456521739,noise_nose,21,25,
M41GG,Trial 3,1,quiet_nose,21,0,
M41GG,Trial 7,0.693333333,noise_milk,52,23,
M41GG,Trial 5,0.505882353,noise_dog,43,42,
M41GG,Trial 6,0.215517241,quiet_dog,25,91,
M41GG,Trial 8,0.657894737,quiet_milk,50,26,
,,,,,,
M41GG,Trial 1,0.35106383,baseline_1,33,61,
M41GG,Trial 2,NaN,baseline_2,0,0,DROPPED
M41GG,Trial 13,0.394366197,quiet_stroller,28,43,
M41GG,Trial 14,0.605263158,noise_hand,46,30,
M41GG,Trial 15,0.307692308,quiet_hand,12,27,
M41GG,Trial 16,0.160493827,quiet_car,13,68,
M41GG,Trial 17,0.917431193,noise_foot,100,9,
M41GG,Trial 18,0.581395349,noise_stroller,25,18,
M41GG,Trial 19,0.548387097,noise_car,34,28,
M41GG,Trial 20,0.580645161,quiet_foot,18,13,
M41GG,Trial 11,0.227272727,baseline_3,15,51,
M41GG,Trial 12,0.386666667,baseline_4,29,46,
M41GG,Trial 9,0.042857143,quiet_eye,3,67,
M41GG,Trial 10,0.285714286,noise_eye,20,50,
M41GG,Trial 4,0.80952381,noise_nose,68,16,
M41GG,Trial 3,0.727272727,quiet_nose,40,15,
M41GG,Trial 7,0.115942029,noise_milk,8,61,
M41GG,Trial 5,0.821428571,noise_dog,92,20,
M41GG,Trial 6,0.7625,quiet_dog,61,19,
M41GG,Trial 8,0.103448276,quiet_milk,9,78,
,,,,,,
M42RM,Trial 1,1,baseline_1,27,0,
M42RM,Trial 2,1,baseline_2,7,0,DROPPED
M42RM,Trial 4,0.780821918,quiet_stroller,57,16,
M42RM,Trial 6,1,noise_hand,29,0,
M42RM,Trial 10,0.2,quiet_hand,7,28,
M42RM,Trial 9,1,quiet_car,31,0,
